State,Fruit,Seasonality
Hawaii,Melons," June, July, August"
Hawaii,Mint," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Moringa," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Mushrooms," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Onions," March, April, May, June, July, August, September, October"
Hawaii,Oranges," January, February, March, April, September, October, November, December"
Hawaii,Oregano," March, April, May, June"
Hawaii,Papaya," May, June, July, August, September"
Hawaii,Parsley," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Passionfruit," January, June, July, August, September, October, November, December"
Hawaii,Pea Shoots, February
Hawaii,Peas, February
Hawaii,Peppers," February, March, April, May, June, July"
Hawaii,Persimmons," September, October, November"
Hawaii,Pigeon Peas," January, February, March, April, November, December"
Hawaii,Pineapple," April, May, June, July, August, September"
Hawaii,Plums," March, April, May, June, July"
Hawaii,Pomegranates," May, June, July, August, September, October, November, December"
Hawaii,Potatoes," April, May, June, July"
Hawaii,Pummelo," January, February, March, April, May, June, November, December"
Hawaii,Pumpkin," August, September, October, November, December"
Hawaii,Radishes," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Rambutan," February, March"
Hawaii,Raspberries," May, June, July, August"
Hawaii,Rhubarb," May, June"
Hawaii,Rosemary," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Sage," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Sapodilla," January, June, July, August, September, October, November, December"
Hawaii,Shallots," April, May, June, July, August"
Hawaii,Spinach," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Starfruit," January, February, March, April, September, October, November, December"
Hawaii,Strawberries," January, February, March, April"
Hawaii,Sugarcane," March, April, May, June, July, August, September, October, November"
Hawaii,Summer Squash," January, February, May, June, July, August, September, October, November, December"
Hawaii,Sweet Potatoes," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Tangerines," January, February, September, October, November, December"
Hawaii,Taro," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Taro Leaf," April, May, June, July, August, September, October"
Hawaii,Tarragon," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Thyme," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Tomatillos," April, May, June, July, August, September, October, November, December"
Hawaii,Tomatoes," March, April, May, June, July, August, September, October, November, December"
Hawaii,Turmeric," January, February, March, June, July, November, December"
Hawaii,Watercress," May, June, July, August, September"
Hawaii,Watermelon," June, July, August, September"
Hawaii,White Sapote," April, May, June, July, August, September"
Hawaii,Yams," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Yuca," January, February, March, April, May, June, July, August, September, October, November, December"
Hawaii,Zucchini," January, February, May, June, July, August, October, November, December"
Idaho,Apples," January, February, March, April, August, September, October, November"
Idaho,Apricots, July
Idaho,Arugula," May, June, July, August, September"
Idaho,Asian Pears," August, September"
Idaho,Asparagus," April, May"
Idaho,Basil," March, April, May, June, July, August, September, October"
Idaho,Beets," July, August, September, October"
Idaho,Blackberries," July, August, September"
Idaho,Blueberries," August, September"
Idaho,Bok Choy," August, September, October"
Idaho,Boysenberries," June, July, August, September"
Idaho,Brambles," June, July, August, September"
Idaho,Broccoli," August, September, October, November"
Idaho,Brussels Sprouts, September
Idaho,Cabbage," July, August, September, October, November"
Idaho,Cantaloupe," July, August, September"
Idaho,Cardoons," October, November, December"
Idaho,Carrots," July, August, September, October"
Idaho,Cauliflower," September, October, November"
Idaho,Celery," July, August, September, October"
Idaho,Celery Root," July, August, September, October"
Idaho,Chard," July, August, September, October"
Idaho,Cherries," July, August"
Idaho,Chickpeas," April, May"
Idaho,Chicories," January, February, March, October, November, December"
Idaho,Chili Peppers," June, July, August, September"
Idaho,Chives," March, April, May, June, July, August, September, October"
